Date (ex: 2022-08-25),Plan Number (ex: UP20221101001470),Finish Good GMC (ex: VFQ2410),Model (ex: B121SC3),Color (ex: PE),Destination (ex: LZ)
11/1/2022,UP20221101001487,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221101001507,VFQ3380,P124SH3,PE,EP
11/1/2022,UP20220928001298,VCM7890,P22D,SE,LZ
11/1/2022,UP20220928001323,VCM7890,P22D,SE,LZ
11/1/2022,UP20220929001302,VCM7890,P22D,SE,LZ
11/1/2022,UP20220929001316,VCM7890,P22D,SE,LZ
11/1/2022,UP20220929001341,VCM7890,P22D,SE,LZ
11/1/2022,UP20221003000152,VCM7890,P22D,SE,LZ
11/1/2022,UP20221003000254,VCM7910,P22D,DO,LZ
11/1/2022,UP20221003000216,VCM7890,P22D,SE,LZ
11/1/2022,UP20221004000151,VCM7890,P22D,SE,LZ
11/1/2022,UP20221004000216,VCM7890,P22D,SE,LZ
11/1/2022,UP20221004000255,VCM7900,P22D,SW,LZ
11/1/2022,UP20221101001470,VFQ2410,B121SC3J,PE,JP
11/1/2022,UP20221102001513,VFQ3380,P124SH3,PE,EP
11/1/2022,UP20221102001477,VFQ2410,B121SC3J,PE,JP
11/1/2022,UP20221104001561,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221104001562,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221107001558,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221107001559,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221107001560,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221107001471,VFQ2590,U1JSC3,PE,AP2
11/1/2022,UP20221108001475,VFQ2590,U1JSC3,PE,AP2
11/1/2022,UP20221109001567,ZJ73750,B3,PM,LZ
11/1/2022,UP20221109001512,VFQ2860,B3SC3,PE,LP
11/1/2022,UP20221110001573,ZW44790,B3,PWH,LZ
11/1/2022,UP20221110001567,ZJ73760,B3,PW,LZ
11/1/2022,UP20221110001574,ZW44790,B3,PWH,LZ
11/1/2022,UP20221110001493,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221110001495,VFQ2700,B2ESC3,PWH,EP
11/1/2022,UP20221110001498,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001499,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001500,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001501,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001504,VFQ2750,B3ESC3,PWH,EP
11/1/2022,UP20221110001506,VFQ2770,B3ESC3,PEC,EP
11/1/2022,UP20221110001494,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221110001502,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001503,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221110001505,VFQ2750,B3ESC3,PWH,EP
11/1/2022,UP20221110001508,VFQ2810,B2SC3,PE,LP
11/1/2022,UP20221110001509,VFQ2860,B3SC3,PE,LP
11/1/2022,UP20221111001488,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221111001489,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221111001492,VFQ2700,B2ESC3,PWH,EP
11/1/2022,UP20221111001493,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001494,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001495,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001496,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001497,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001499,VFQ2750,B3ESC3,PWH,EP
11/1/2022,UP20221111001501,VFQ2770,B3ESC3,PEC,EP
11/1/2022,UP20221111001503,VFQ2810,B2SC3,PE,LP
11/1/2022,UP20221111001505,VFQ2860,B3SC3,PE,LP
11/1/2022,UP20221111001490,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221111001491,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221111001498,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221111001500,VFQ2750,B3ESC3,PWH,EP
11/2/2022,UP20221005000138,VCM7900,P22D,SW,LZ
11/2/2022,UP20221005000152,VCM7890,P22D,SE,LZ
11/2/2022,UP20221005000164,VCM7900,P22D,SW,LZ
11/2/2022,UP20221005000229,VCM7910,P22D,DO,LZ
11/2/2022,UP20221005000254,VCM7890,P22D,SE,LZ
11/2/2022,UP20221006000151,VCM7890,P22D,SE,LZ
11/2/2022,UP20221006000164,VCM7900,P22D,SW,LZ
11/2/2022,UP20221006000230,VCM7900,P22D,SW,LZ
11/2/2022,UP20221006000216,VCM7890,P22D,SE,LZ
11/2/2022,UP20221006000242,VCM7900,P22D,SW,LZ
11/2/2022,UP20221007000138,VCM7910,P22D,DO,LZ
11/2/2022,UP20221107001561,ZH56740,U1J,PEC,AZ
11/1/2022,UP20221108001524,WN14940,M2,SDW,AZ
11/1/2022,UP20221108001532,WY14660,JU109,PE,AZ
11/1/2022,UP20221108001533,WY14660,JU109,PE,AZ
11/1/2022,UP20221108001535,WY14680,JX113T,PE,AZ
11/2/2022,UP20221108001558,ZH56740,U1J,PEC,AZ
11/2/2022,UP20221108001559,ZH56740,U1J,PEC,AZ
11/2/2022,UP20221108001560,ZH56740,U1J,PEC,AZ
11/2/2022,UP20221108001561,ZH56740,U1J,PEC,AZ
11/2/2022,UP20221108001572,ZU14100,B113,PWH,JZ
11/2/2022,UP20221109001538,WN14940,M2,SDW,AZ
11/1/2022,UP20221109001478,VFQ2530,JU109SC3,PE,AP2
11/1/2022,UP20221109001479,VFQ2570,JX113SC3,PE,AP2
11/2/2022,UP20221110001534,WH50410,JX113T,PE,AZ
11/1/2022,UP20221110001475,VFQ2530,JU109SC3,PE,AP2
11/1/2022,UP20221111001455,AAC7368,U1J,PE,LZ
11/1/2022,UP20221111001508,VFV5530,U1J,PE,LZ
11/1/2022,UP20221111001541,ZF42500,B3,PE,LZ
11/1/2022,UP20221111001542,ZF42500,B3,PE,LZ
11/1/2022,UP20221111001560,ZH66250,B3E,PE,EZ
11/1/2022,UP20221111001561,ZH66250,B3E,PE,EZ
11/1/2022,UP20221111001572,ZW44790,B3,PWH,LZ
11/1/2022,UP20221111001567,ZQ21300,B2,PEC,LZ
11/2/2022,UP20221111001456,AAC7368,U1J,PE,LZ
11/2/2022,UP20221111001543,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001544,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001545,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001546,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001547,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001548,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001549,ZF42500,B3,PE,LZ
11/2/2022,UP20221111001562,ZH66250,B3E,PE,EZ
11/2/2022,UP20221111001563,ZH66250,B3E,PE,EZ
11/2/2022,UP20221111001564,ZH66250,B3E,PE,EZ
11/2/2022,UP20221111001565,ZJ73760,B3,PW,LZ
11/2/2022,UP20221111001568,ZQ21310,B3,PEC,LZ
11/2/2022,UP20221111001573,ZW44790,B3,PWH,LZ
11/2/2022,UP20221111001574,ZW44790,B3,PWH,LZ
11/1/2022,UP20221111001504,VFQ2830,B2SC3,PM,LP
11/2/2022,UP20221114001455,AAC7368,U1J,PE,LZ
11/2/2022,UP20221114001509,VFV5530,U1J,PE,LZ
11/2/2022,UP20221114001533,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001534,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001535,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001536,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001537,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001538,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001539,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001540,ZF42500,B3,PE,LZ
11/2/2022,UP20221114001554,ZF71250,B2,PE,LZ
11/2/2022,UP20221114001559,ZH66250,B3E,PE,EZ
11/2/2022,UP20221114001560,ZH66250,B3E,PE,EZ
11/2/2022,UP20221114001561,ZH66250,B3E,PE,EZ
11/2/2022,UP20221114001572,ZW44790,B3,PWH,LZ
11/2/2022,UP20221114001556,ZF71250,B2,PE,LZ
11/2/2022,UP20221114001557,ZF71250,B2,PE,LZ
11/2/2022,UP20221114001558,ZF71250,B2,PE,LZ
11/1/2022,UP20221114001489,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221114001490,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221114001493,VFQ2700,B2ESC3,PWH,EP
11/1/2022,UP20221114001494,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221114001495,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221114001496,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221114001497,VFQ2740,B3ESC3,PE,EP
11/1/2022,UP20221114001504,VFQ2810,B2SC3,PE,LP
11/1/2022,UP20221114001484,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221114001491,VFQ2690,B2ESC3,PE,EP
