Date Stuffing,Destination,Destination Name,Container Plan after,,,YCJ Ref#
,,,40 HC',40',20',
9/1/2022,Y77027,Hamburg,1,,,
9/1/2022,Y82902,Shanghai,2,,,
9/2/2022,Y1000Y1,Shimizu Part,1,,1,
9/5/2022,Y70001,Los Angeles,2,,,
9/5/2022,Y82902,Shanghai,2,,,
9/6/2022,Y10012,Johor,2,,,
9/6/2022,Y77029,Le Havre,1,,,
9/6/2022,Y82801,Incheon,1,,,
9/7/2022,Y70001,Los Angeles,2,,,
9/7/2022,Y77027,Hamburg,1,,,
9/7/2022,Y82902,Shanghai,2,,,
9/8/2022,Y77029,Le Havre,1,,,
9/8/2022,Y70701,Vancouver,1,,,
9/8/2022,Y1000Y,Shimizu,1,,,
9/8/2022,Y82402,Portkelang,1,,,
9/8/2022,Y1000Y2,Shimizu Pallet,,,1,
9/9/2022,Y70001,Los Angeles,2,,,
9/9/2022,Y77027,Hamburg,2,,,
9/9/2022,Y1000Y1,Shimizu Part,1,,,
9/12/2022,Y70001,Los Angeles,2,,,
9/12/2022,Y77029,Le Havre,1,,,
9/13/2022,Y70001,Los Angeles,2,,,
9/13/2022,Y1000Y,Shimizu,1,,,
9/14/2022,Y77027,Hamburg,2,,,
9/14/2022,Y77056,Southampton,1,,,
9/14/2022,Y77029,Le Havre,1,,,
9/15/2022,Y10012,Johor,2,,,
9/15/2022,Y80905,Melbourne,1,,,
9/15/2022,Y77027,Hamburg,1,,,
9/16/2022,Y70001,Los Angeles,2,,,
9/16/2022,Y1000Y1,Shimizu Part,2,,,
9/19/2022,Y77029,Le Havre,1,,,
9/19/2022,Y1000Y,Shimizu,1,,,
9/19/2022,Y70001,Los Angeles,2,,,
9/20/2022,Y1000Y2,Shimizu Pallet,1,,,
9/20/2022,Y77029,Le Havre,1,,,
9/20/2022,Y10012,Johor,2,,,
9/21/2022,Y82902,Shanghai,4,,,
9/21/2022,Y81107,Bangkok,1,,,
9/22/2022,Y70001,Los Angeles,2,,,
9/22/2022,Y77027,Hamburg,2,,,
9/22/2022,Y82402,Portkelang,1,,,
9/23/2022,Y70001,Los Angeles,2,,,
9/23/2022,Y77056,Southampton,1,,,
9/23/2022,Y81601,Taipei,1,,,
9/23/2022,Y1000Y1,Shimizu Part,1,,,
9/26/2022,Y70701,Vancouver,1,,,
9/26/2022,Y70001,Los Angeles,2,,,
9/26/2022,Y82902,Shanghai,4,,,
9/27/2022,Y80905,Melbourne,1,,,
9/27/2022,Y70001,Los Angeles,2,,,
9/27/2022,Y77027,Hamburg,2,,,
9/27/2022,Y77029,Le Havre,1,,,
9/27/2022,Y82801,Incheon,1,,,
9/28/2022,Y82902,Shanghai,4,,,
9/28/2022,Y70001,Los Angeles,2,,,
9/28/2022,Y10012,Johor,1,,,
9/29/2022,Y1000Y,Shimizu,1,,,
